,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX,d_l_f,g_s,slf,xray_class,is_coincident
4774,42.71279739495798,458.9631932773109,41.90176470588234,35.186663865546215,62.76763025210084,75.59062184873949,-0.05937426134453782,0.0018337592840336132,7404.670588235293,35.20416806722689,4.3901890756302535,1891581428571.4285,28.591092436974783,1.6734831932773108e+23,690.7117647058823,10603976470588.234,1.3440047058823531e+22,511.41521008403356,18022.121705882353,60.176921848739504,C,False
4775,26.816438453608246,379.07783505154634,39.535793814432985,61.548690721649486,118.4917525773196,120.46948453608246,-0.1431909975257732,-0.00014484007216494853,4277.5360824742265,32.057422680412365,3.6642381443298966,1709546360824.7422,19.086505154639177,8.554675257731958e+22,746.2107216494845,15286061855670.104,9.955429896907215e+21,153.7958762886598,2018.0474226804124,19.912587628865978,B,False
4777,112.5815462184874,188.34445378151258,29.128571428571423,39.21301680672269,102.72571428571429,105.27961344537815,-0.08604541478991598,-0.01056211680672269,2109.21512605042,25.04690756302521,3.2981025210084036,6091149579831.933,8.21492857142857,3.013009243697479e+22,389.62445378151267,8368665546218.487,6.676819327731091e+21,2.7359411764705883,0.0,1.603655462184874,C,False
4780,69.74721219512195,498.1843902439024,57.79937804878049,67.37832926829269,98.28389024390245,105.99036585365853,0.04439128353658536,-0.0032392753658536584,11229.19268292683,49.150951219512194,4.208939024390243,1819746951219.5122,53.78325609756097,3.163623170731707e+23,1141.1426829268294,24461280487804.88,1.2855956097560975e+22,162.61097560975608,10862.732926829269,10.967670731707317,C,False
4783,119.68183333333333,463.61666666666673,59.8485,69.90683333333334,100.27300000000001,100.6855,0.13058983333333335,-0.0069823333333333334,8593.533333333333,47.3125,4.007233333333334,3515416666666.6665,50.73683333333333,1.9567666666666666e+23,822.2783333333333,19207500000000.0,8.85615e+21,224.5433333333333,7249.616666666666,19.204666666666665,C,False
4785,18.43185966386555,430.2140336134453,57.24711764705882,63.98196638655462,96.14878991596638,96.51468907563024,-0.02905107546218487,-0.001196230151260504,10875.95882352941,45.94665546218488,3.400484873949579,1172854705882.353,51.59802521008403,1.830952941176471e+23,531.7110084033613,12352275630252.102,7.718484033613446e+21,356.2090756302521,1289.751344537815,33.00189915966386,C,False
4787,247.3781512605042,314.93277310924367,46.94957983193277,31.333613445378145,56.44957983193278,66.1546218487395,-0.4103949579831933,0.013466050420168069,10050.33613445378,39.24201680672268,3.8149579831932767,8480336134453.781,38.07983193277311,2.3988235294117647e+23,595.7394957983194,9595630252100.84,1.2408067226890758e+22,251.0,3470.235294117647,29.182352941176468,M,False
4789,295.642429906542,2537.1700934579435,40.555028037383174,61.66140186915887,121.07915887850464,122.0851401869159,0.5102202803738318,-0.005359672897196262,4781.722429906542,31.693691588785047,4.296991588785047,14620242990654.205,20.144869158878507,3.523792523364486e+23,2868.340186915888,60665317757009.34,3.405314018691589e+22,1764.1457943925232,8096.528037383177,124.60990654205608,C,False
4790,312.77613445378154,2524.694117647058,38.98731092436975,61.02000840336135,124.2970588235294,124.5572268907563,0.456477731092437,-0.0057494226890756304,4545.03781512605,30.429369747899155,4.179081512605041,13642964705882.354,18.295184873949573,3.2895915966386545e+23,2712.5924369747904,57952310924369.75,3.3704848739495798e+22,1781.0588235294115,5604.553781512606,145.2857142857143,C,False
4791,14.704321092436972,324.5581512605043,40.1256050420168,65.74790756302521,130.77243697478994,130.75075630252104,0.5709982789915966,0.00284565743697479,2530.645378151261,29.259571428571427,1.7079289075630255,1571282605042.0168,15.456503361344538,1.8424277310924367e+22,260.37966386554626,5762602521008.403,2.8948268907563015e+21,21.243663865546218,62.42171428571429,5.7707983193277315,C,False
4792,137.971,697.8863333333334,35.70543333333333,36.3643,79.42606666666669,82.61633333333334,-0.19318633333333335,-0.00355127,5905.123333333333,28.394033333333333,4.127416666666667,7439470000000.0,19.20096666666667,3.05169e+23,1294.2633333333335,24662933333333.332,2.5901100000000002e+22,38.05653333333333,217.7866666666667,3.628886666666667,C,False
4796,24.48450164705883,335.39886554621853,38.19799159663865,33.94689915966387,70.26774789915966,88.07973949579832,0.3884706996638656,0.005358968991596639,4807.8731092436965,31.577025210084035,4.431150420168066,1430062521008.4033,22.365386554621846,5.288125714285714e+22,270.0791521008403,4827555630252.101,6.227590756302521e+21,114.08668067226888,44036.19984033613,13.954585882352939,C,False
4798,146.63362637362638,486.7649450549451,51.05424175824177,65.99223076923077,107.97593406593406,111.60461538461539,0.10980956351648351,0.0077510659340659345,8565.950549450548,42.20695604395604,4.0778428571428575,4724621978021.978,40.05304395604396,2.1487560439560436e+23,999.6480219780221,20604219780219.78,1.2112945054945055e+22,169.64725274725274,6186.182417582418,13.189362637362636,B,False
4804,0.0,24.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.175,0.0,0.0,0.0,0.0,0.0,0.0,33.15,1115.0,2.735,M,False
4805,5.014737500000001,222.60750000000002,23.163125,24.703875000000004,72.56675,72.62174999999999,-0.11347874999999999,0.00021999625,1080.9,18.874125,0.0,1490737500000.0,0.3226875,3.275075e+22,518.3287499999999,11042000000000.0,1.42185e+22,0.0,0.0,0.0,B,False
4808,12.653494830508475,136.53472033898308,27.99499152542373,26.069618644067795,59.09277966101694,73.34127118644068,-0.03750205245762712,4.261918644067793e-05,2113.79593220339,22.077593220338986,3.408469491525424,894159616101.695,11.46559491525424,2.9320782218644064e+22,228.70410915254237,4672499281355.933,6.28435443220339e+21,21.084525423728817,2041.9479152542372,5.526514406779661,B,False
