,Unnamed: 0,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX,d_l_f,g_s,slf,xray_class,is_coincident
5443,5443,90.8352593220339,1360.8813559322036,30.8091186440678,39.734610169491525,98.97781355932206,100.57123728813559,0.016220074576271185,0.0013853788305084748,3001.542372881356,24.870237288135595,4.104737288135594,5953540677966.103,9.010869491525424,2.446983050847458e+23,2183.108474576271,43433152542372.88,3.912959322033898e+22,1814.9220338983048,1611.5776271186444,260.6623728813559,C,False
5444,5444,14.133189830508478,313.6437288135593,40.205593220338976,63.76638983050847,129.1335593220339,128.9977966101695,0.5603096610169491,0.003121568813559321,2167.1440677966093,29.03222033898305,1.982858305084746,1358190677966.1018,15.347069491525426,1.3222237288135593e+22,224.61661016949157,5153271186440.678,2.473730508474576e+21,2.294338983050848,2.449305084745763,0.9354237288135592,C,False
5447,5447,9.981145423728817,79.32789830508473,32.07049152542373,54.0569661016949,120.86593220338983,122.36457627118642,-0.10557528474576272,-0.0022400672033898307,2503.908474576271,25.192644067796607,2.318076271186441,640155254237.2881,7.702338983050848,1.4458959322033896e+22,214.8533898305085,4156672881355.9316,2.9955796610169496e+21,45.74083050847458,56.077898305084744,19.217779661016948,C,False
5449,5449,139.4915254237288,491.34288135593226,38.47371186440678,31.964457627118648,61.81125423728814,68.54210169491525,-0.1267965254237288,-0.00398828479661017,6326.655932203391,27.54035593220339,4.02778813559322,8777293220338.982,20.847576271186444,2.891637288135593e+23,1008.3491525423727,18019966101694.914,2.300628813559322e+22,35.21630508474576,1710.7908474576273,4.929010169491527,C,False
5453,5453,6.390509084745761,234.8803389830508,30.02922033898305,33.74416949152542,87.37005084745762,88.56227118644068,0.01994379152542373,0.00033201056779661017,3291.6152542372884,24.614864406779667,3.404067796610169,1519467627118.644,9.489544067796608,6.753616949152543e+22,420.73305084745766,9173332203389.83,9.79578813559322e+21,7.459457627118645,0.0,1.4312033898305083,C,False
5454,5454,19.816640000000003,589.1522033898304,35.12050847457628,33.64708474576271,67.72647457627119,81.78222033898305,-0.012499376271186441,0.0007623018135593222,3923.506779661017,28.641033898305093,4.105464406779661,1302096101694.9153,17.235610169491526,8.220442372881357e+22,405.74508474576277,7641001694915.254,1.0391596610169493e+22,161.4160338983051,17714.011542372882,22.701396101694915,C,False
5457,5457,10.017143644067797,175.75898305084746,35.280067796610176,30.07472881355932,59.938694915254224,72.4829152542373,-0.026600130508474575,0.00023357198305084745,4359.588135593221,31.32155932203389,2.8147338983050854,689215322033.8983,18.638203389830508,5.2284983050847444e+22,287.0261016949152,4664411864406.778,6.904372881355932e+21,21.680730508474575,789.8462711864404,4.5114983050847455,C,False
5460,5460,139.1290909090909,471.31772727272727,52.59486363636363,69.88197727272728,110.6543181818182,114.58477272727272,0.11093289090909088,0.007629272727272727,8643.947727272727,42.99252272727272,4.159706818181818,3727665909090.9087,41.00125,2.0904931818181816e+23,1055.4056818181816,21313886363636.363,1.145068181818182e+22,161.85681818181817,6682.486363636363,12.102522727272724,B,False
5461,5461,124.0237288135593,466.4257627118644,42.498101694915256,52.254932203389814,96.17081355932206,99.00949152542374,0.05227818644067797,0.005894935593220339,6506.6627118644055,35.47176271186441,3.855854237288136,2814874576271.1865,28.29749152542373,1.8160881355932206e+23,878.1750847457628,17562661016949.152,1.459608474576271e+22,193.94525423728814,3558.6288135593218,17.324050847457627,B,False
5467,5467,93.10974576271187,263.0133898305085,52.977711864406785,64.97879661016951,100.69369491525423,106.87215254237287,-0.11263076101694915,0.008021125423728816,8887.9593220339,44.89722033898306,3.769949152542373,2011675084745.7627,45.36542372881356,1.389020338983051e+23,658.9825423728812,13153101694915.256,7.581188135593221e+21,101.84679661016949,3523.081355932204,10.28211186440678,B,False
5469,5469,25.699988135593227,128.7392711864407,39.9685593220339,57.623898305084765,114.89847457627118,116.92237288135591,-0.1246395033898305,0.0035874816949152547,3678.9559322033892,32.500016949152545,3.19556440677966,1574644728813.559,21.96933728813559,2.9761159322033893e+22,324.4903389830509,6698203389830.509,3.6543152542372877e+21,60.593627118644065,473.4922372881355,14.246864406779661,B,False
5472,5472,26.16448983050847,345.75677966101694,26.158644067796608,32.325101694915254,102.86430508474577,103.12803389830509,-0.2116958983050848,-0.0016277093220338984,1647.4915254237287,22.92405084745763,0.4262610169491525,1749634067796.61,3.32898813559322,3.5095322033898304e+22,493.01372881355934,11051832203389.83,1.0011015254237287e+22,0.0,0.0,0.0,C,False
5475,5475,14.26628120689655,138.02477586206896,26.88005172413793,24.780344827586198,59.24646551724138,79.01813793103447,-0.12558390396551725,0.0003761243103448276,2262.252068965517,22.865862068965512,3.803396551724138,785244339655.1724,14.025891379310346,1.9717970720689656e+22,132.18956689655172,2584884744827.5864,3.1528762586206894e+21,42.896103448275866,4154.307827586207,11.24359827586207,B,False
5477,5477,105.58718644067795,165.91966101694916,42.538355932203395,56.07147457627119,104.14157627118642,107.23847457627122,-0.2764626305084745,-0.013273098305084748,6218.515254237288,34.83398305084746,3.798506779661016,3293105084745.7627,27.013474576271197,6.587781355932203e+22,366.77033898305086,7129635593220.339,5.64398474576271e+21,136.28677966101694,660.7657627118648,19.11013559322033,C,False
5479,5479,9.192822983050846,265.80220338983054,27.140152542372885,40.19281355932205,116.15881355932206,116.3789830508475,0.006997100000000003,-0.0008772132355932202,1585.472881355932,23.19016949152542,0.296806779661017,741106271186.4407,3.618571186440679,2.002320338983051e+22,308.1062711864407,7304788135593.222,5.651500000000001e+21,0.0,0.0,0.0,C,False
