,time_start,time_peak,time_end,nar,xray_class
261,2010-07-21 18:36:00,2010-07-21 18:51:00,2010-07-21 18:55:00,11089,B
262,2011-01-22 22:12:00,2011-01-22 22:26:00,2011-01-22 22:40:00,11149,B
263,2012-12-11 00:36:00,2012-12-11 00:46:00,2012-12-11 00:49:00,11630,B
264,2011-05-14 00:48:00,2011-05-14 00:58:00,2011-05-14 01:00:00,11213,B
265,2016-08-26 06:48:00,2016-08-26 07:02:00,2016-08-26 07:27:00,12579,B
266,2021-02-24 17:48:00,2021-02-24 18:01:00,2021-02-24 18:08:00,12804,B
267,2010-07-07 20:36:00,2010-07-07 20:45:00,2010-07-07 20:48:00,11087,B
268,2021-04-20 17:36:00,2021-04-20 17:54:00,2021-04-20 17:59:00,12816,B
269,2015-10-03 20:24:00,2015-10-03 20:32:00,2015-10-03 21:01:00,12427,B
270,2010-09-30 23:12:00,2010-09-30 23:20:00,2010-09-30 23:23:00,11109,B
271,2017-06-04 02:36:00,2017-06-04 02:49:00,2017-06-04 02:54:00,12661,B
272,2021-07-03 23:12:00,2021-07-03 23:30:00,2021-07-03 23:37:00,12838,B
273,2011-02-01 00:00:00,2011-02-01 00:13:00,2011-02-01 00:17:00,11150,B
274,2017-10-05 10:48:00,2017-10-05 11:04:00,2017-10-05 11:11:00,12683,B
275,2012-05-14 22:00:00,2012-05-14 22:09:00,2012-05-14 22:19:00,11476,B
276,2016-05-24 08:24:00,2016-05-24 08:36:00,2016-05-24 08:40:00,12546,B
277,2020-08-19 22:36:00,2020-08-19 22:48:00,2020-08-19 23:01:00,12772,B
278,2017-04-10 18:12:00,2017-04-10 18:23:00,2017-04-10 18:28:00,12650,B
279,2017-05-05 12:12:00,2017-05-05 12:29:00,2017-05-05 12:36:00,12655,B
280,2012-01-11 13:00:00,2012-01-11 13:11:00,2012-01-11 13:29:00,11393,B
281,2016-04-20 07:24:00,2016-04-20 07:41:00,2016-04-20 07:46:00,12529,B
282,2016-01-19 08:48:00,2016-01-19 09:00:00,2016-01-19 09:06:00,12485,B
283,2016-03-26 23:12:00,2016-03-26 23:17:00,2016-03-26 23:27:00,12526,B
284,2016-06-13 02:48:00,2016-06-13 02:53:00,2016-06-13 02:57:00,12554,B
285,2016-08-12 11:48:00,2016-08-12 12:22:00,2016-08-12 12:41:00,12574,B
286,2015-02-13 02:12:00,2015-02-13 02:28:00,2015-02-13 02:51:00,12282,B
287,2010-09-06 16:00:00,2010-09-06 16:27:00,2010-09-06 16:41:00,11105,B
288,2011-01-02 19:00:00,2011-01-02 19:15:00,2011-01-02 19:24:00,11140,B
289,2017-08-17 02:24:00,2017-08-17 02:36:00,2017-08-17 02:39:00,12671,B
290,2014-07-21 18:36:00,2014-07-21 18:48:00,2014-07-21 18:51:00,12121,B
291,2017-04-19 10:00:00,2017-04-19 10:05:00,2017-04-19 10:07:00,12651,B
292,2011-02-05 00:00:00,2011-02-05 00:07:00,2011-02-05 00:11:00,11152,B
293,2020-08-03 03:36:00,2020-08-03 03:43:00,2020-08-03 03:48:00,12770,B
294,2014-07-28 23:00:00,2014-07-28 23:07:00,2014-07-28 23:10:00,12121,B
295,2013-03-06 04:36:00,2013-03-06 04:44:00,2013-03-06 04:47:00,11686,B
296,2012-04-07 00:12:00,2012-04-07 00:26:00,2012-04-07 00:35:00,11452,B
297,2021-07-29 19:24:00,2021-07-29 19:34:00,2021-07-29 19:43:00,12849,B
298,2021-06-28 17:48:00,2021-06-28 18:06:00,2021-06-28 18:18:00,12835,B
299,2010-06-22 09:00:00,2010-06-22 09:04:00,2010-06-22 09:06:00,11082,B
300,2017-01-20 17:00:00,2017-01-20 17:12:00,2017-01-20 17:16:00,12627,B
