,time_start,time_peak,time_end,nar,xray_class
208,2017-06-27 07:29:00.0,2017-06-27 07:35:00.0,2017-06-27 07:41:00.0,12664,B1.2
209,2012-01-02 09:27:00.0,2012-01-02 09:30:00.0,2012-01-02 09:32:00.0,11389,B6.1
210,2012-11-28 01:38:00.0,2012-11-28 01:48:00.0,2012-11-28 01:55:00.0,11620,B7.9
211,2016-11-30 11:05:00.0,2016-11-30 11:11:00.0,2016-11-30 11:19:00.0,12615,B1.7
212,2014-06-10 16:35:00.0,2014-06-10 16:38:00.0,2014-06-10 16:42:00.0,12085,C1.5
213,2014-01-11 18:29:00.0,2014-01-11 18:38:00.0,2014-01-11 18:42:00.0,11944,C1.0
214,2015-06-04 14:43:00.0,2015-06-04 15:19:00.0,2015-06-04 15:37:00.0,12361,C2.7
215,2013-12-28 13:06:00.0,2013-12-28 13:15:00.0,2013-12-28 13:31:00.0,11934,C2.6
216,2014-01-19 05:24:00.0,2014-01-19 05:48:00.0,2014-01-19 06:02:00.0,11959,C1.4
217,2013-05-19 08:35:00.0,2013-05-19 08:38:00.0,2013-05-19 08:40:00.0,11752,C1.2
218,2013-01-06 09:15:00.0,2013-01-06 09:50:00.0,2013-01-06 10:12:00.0,11653,C1.9
219,2014-06-30 13:08:00.0,2014-06-30 13:18:00.0,2014-06-30 13:45:00.0,12106,C3.4
220,2015-05-14 13:58:00.0,2015-05-14 14:08:00.0,2015-05-14 14:24:00.0,12342,C2.8
221,2015-06-26 08:42:00.0,2015-06-26 08:45:00.0,2015-06-26 08:47:00.0,12371,B5.9
222,2016-04-15 09:25:00.0,2016-04-15 09:28:00.0,2016-04-15 10:01:00.0,12529,B8.3
223,2014-03-24 02:42:00.0,2014-03-24 02:47:00.0,2014-03-24 02:49:00.0,12015,C3.5
224,2012-01-20 21:01:00.0,2012-01-20 21:12:00.0,2012-01-20 21:22:00.0,11396,C1.3
225,2011-01-07 06:59:00.0,2011-01-07 07:05:00.0,2011-01-07 07:14:00.0,11141,B1.7
226,2021-09-08 03:04:00.0,2021-09-08 03:14:00.0,2021-09-08 03:19:00.0,12868,C1.1
227,2010-07-10 22:34:00.0,2010-07-10 22:49:00.0,2010-07-10 23:02:00.0,11087,B7.2
228,2016-02-17 09:54:00.0,2016-02-17 10:02:00.0,2016-02-17 10:09:00.0,12497,C2.0
229,2013-11-04 05:36:00.0,2013-11-04 05:44:00.0,2013-11-04 05:52:00.0,11884,C3.2
230,2013-04-13 09:21:00.0,2013-04-13 09:28:00.0,2013-04-13 09:34:00.0,11724,C1.5
231,2015-10-02 09:14:00.0,2015-10-02 09:17:00.0,2015-10-02 09:19:00.0,12422,C3.0
232,2020-12-06 13:18:00.0,2020-12-06 13:27:00.0,2020-12-06 13:36:00.0,12790,C1.6
233,2021-08-27 01:45:00.0,2021-08-27 01:51:00.0,2021-08-27 01:55:00.0,12860,B3.3
234,2012-04-30 06:56:00.0,2012-04-30 07:38:00.0,2012-04-30 08:19:00.0,11465,C3.9
235,2014-03-06 03:53:00.0,2014-03-06 03:57:00.0,2014-03-06 04:02:00.0,11993,C1.5
236,2013-11-07 02:08:00.0,2013-11-07 02:11:00.0,2013-11-07 02:14:00.0,11891,C3.7
237,2013-10-12 17:04:00.0,2013-10-12 17:08:00.0,2013-10-12 17:18:00.0,11861,C1.8
238,2016-01-25 06:50:00.0,2016-01-25 06:54:00.0,2016-01-25 07:01:00.0,12489,B8.0
