,R_VALUE,ABSNJZH,MEANJZD,MEANGBT,MEANGAM,MEANJZH,USFLUX,,,Hour,ABSNJZH,MEANGAM,MEANGBT,MEANJZD,MEANJZH,R_VALUE,USFLUX,,,,ABSNJZH,MEANGAM,MEANGBT,MEANJZD,MEANJZH,R_VALUE,USFLUX
48,0.228759787,0.354186607,0.609173018,0.513255123,0.794880104,0.78555376,0.429230561,,,,,,,,,,,,,,,,,,,,
49,0.237618257,0.281083255,0.522430858,0.496606447,0.775557622,0.822559867,0.445092696,,,,,,,,,,,,,,,,,,,,
50,0.28434789,0.304432926,0.513448958,0.476409578,0.697785867,0.749479328,0.548036502,,,,,,,,,,,,,,,,,,,,
51,0.287381637,0.337962853,0.624858953,0.486114918,0.744585642,0.89302727,0.541415667,,,,,,,,,,,,,,,,,,,,
52,0.281536684,0.291858531,0.613995959,0.485736663,0.741373613,0.821116783,0.552043173,,,,,,,,,,,,,,,,,,,,
53,0.326770507,0.294012369,0.422283285,0.479956938,0.726092789,0.758611504,0.588157669,,,,,,,,,,,,,,,,,,,,
54,0.315604324,0.365103752,0.616497302,0.455813403,0.789765237,0.677514129,0.559458648,,,,,,,,,,,,,,,,,,,,
55,0.345538638,0.278450305,0.680148109,0.461777551,0.71364714,0.975342753,0.555274846,,,,,,,,,,,,,,,,,,,,
56,0.287760732,0.310529202,0.616853693,0.510190042,0.68795281,0.809655784,0.53739225,,,,,,,,,,,,,,,,,,,,
57,0.343887643,0.334668877,0.533583757,0.467206585,0.716767731,0.851659518,0.513849386,,,,,,,,,,,,,,,,,,,,
58,0.296399778,0.319264594,0.695234109,0.476073036,0.698324547,0.840080612,0.509474917,,,,,,,,,,,,,,,,,,,,
59,0.330815737,0.207906904,0.46739504,0.463222028,0.69235203,0.642514665,0.52241504,,,,,,,,,,,,,,,,,,,,
60,0.350079347,0.259010858,0.477546841,0.453257198,0.67694856,0.787832001,0.497337102,,,,,,,,,,,,,,,,,,,,
61,0.353355714,0.260774824,0.233770478,0.421337835,0.620630436,0.613846823,0.491330174,,,,,,,,,,,,,,,,,,,,
62,0.365328786,0.224358353,0.543817667,0.460566963,0.655690092,0.673230186,0.513355772,,,,,,,,,,,,,,,,,,,,
63,0.480198055,0.287185752,0.538793087,0.456015684,0.676006274,0.678651014,0.518911549,,,,,,,,,,,,,,,,,,,,
64,0.494742046,0.319890364,0.401812509,0.548370468,0.660180016,0.579200802,0.573135961,,,,,,,,,,,,,,,,,,,,
65,0.514165476,0.296777533,0.505498886,0.445999043,0.620842886,0.818293433,0.569666402,,,,,,,,,,,,,,,,,,,,
66,0.447296503,0.344701931,0.531820048,0.461992434,0.698168024,1,0.64065729,,,,,,,,,,,,,,,,,,,,
67,0.519693828,0.3912842,0.344112031,0.44619856,0.694130136,0.573858014,0.653432755,,,,,,,,,,,,,,,,,,,,
68,0.572888575,0.477695682,0.487820735,0.445311673,0.748074264,0.854391634,0.690645948,,,,,,,,,,,,,,,,,,,,
69,0.551772125,0.454506532,0.56025676,0.394382712,0.777225357,0.641624512,0.651977447,,,,,,,,,,,,,,,,,,,,
70,0.467181263,0.45750533,0.33042444,0.472027293,0.715096691,0.589976144,0.657026945,,,,,,,,,,,,,,,,,,,,
71,0.411604558,0.481499079,0.415239169,0.434748176,0.732336669,0.609943242,0.688956003,,,,,,,,,,,,,,,,,,,,
72,0.503607259,0.438056889,0.478315615,0.415115542,0.780472195,0.54445761,0.718801843,,,,,,,,,,,,,,,,,,,,
73,0.478683731,0.509580324,0.434407718,0.401303835,0.758851636,0.619283151,0.696350947,,,,,,,,,,,,,,,,,,,,
74,0.524712589,0.656880978,0.345557555,0.440102207,0.736378769,0.497281919,0.697594817,,,,,,,,,,,,,,,,,,,,
75,0.446144517,0.573783377,0.399811997,0.447158605,0.70235336,0.403955728,0.686743808,,,,,,,,,,,,,,,,,,,,
76,0.501965032,0.458705554,0.524909096,0.401115501,0.705023272,0.321692943,0.654514982,,,,,,,,,,,,,,,,,,,,
77,0.531729527,0.58689423,0.329063226,0.374351243,0.680181953,0.367152528,0.67026744,,,,,,,,,,,,,,,,,,,,
78,0.546738559,0.635251852,0.492091898,0.340931186,0.6585321,0.318198694,0.693391962,,,,,,,,,,,,,,,,,,,,
79,0.602783117,0.634414017,0.455694018,0.374969391,0.629471691,0.386481215,0.728888389,,,,,,,,,,,,,,,,,,,,
80,0.56848977,0.640971135,0.27126688,0.370139001,0.58304073,0.370406923,0.729792976,,,,,,,,,,,,,,,,,,,,
81,0.552514855,0.72354672,0.390855101,0.35053843,0.55502989,0.485577231,0.725287783,,,,,,,,,,,,,,,,,,,,
82,0.65176609,0.684954695,0.457303035,0.30967879,0.56389041,0.288062361,0.788632858,,,,,,,,,,,,,,,,,,,,
83,0.624542128,0.68528928,0.274055579,0.282378989,0.617723664,0.300798734,0.829226674,,,,,,,,,,,,,,,,,,,,
84,0.680069844,0.776346254,0.41151655,0.257735546,0.588185109,0.364521345,0.876990916,,,,,,,,,,,,,,,,,,,,
